respondent,region,hourly_wage,weekly_hours,date_surveyed,notes
"Chen, Amy",BC,41000,40,2025-01-14,
"Singh, Manpreet",BC,52500,40,2025-01-14,
"Singh, Manpreet",BC,52500,40,2025-01-14,
"Tremblay, Luc",B.C.,61000,37.5,15/01/2025,
"Garcia, Maria",British Columbia,38500,40,2025-01-21,
"Novak, Peter",bc,"44,000",40,January 22 2025,
"Okafor, Chidi",BC,47250,35,2025-01-28,
"Park, Jisoo",BC,21000,35,2025-02-04,
"Nguyen, Thanh",AB,39900,40,2025-02-04,
"Kaur, Simran",Alberta,36750,40,04/02/2025,
"Park, Jisoo",BC,31000,35,2025-02-04,"correction: wage typo in earlier row, use this one"
"Martin, Sophie",BC,9999999,40,2025-02-11,refused to answer
"Lee, Daniel",B.C.,42000,forty,2025-02-11,
"Roy, Anika",BC,58800,40,2025-02-18,
"Brown, Olivia",alberta,33600,30,18/02/2025,
"Fontaine, Marc",BC,40950,40,2025-02-25,wage column held annual salary on the old form (before April)
"Ivanov, Dmitri",BC,,40,2025-02-25,wage missing on paper form
"Chow, Kevin",BC,50400,45,2025-03-04,
"Reyes, Isabella",AB,35700,40,2025-03-04,
"Tremblay, Luc",BC,61000,37.5,2025-03-11,follow-up survey
"Abdi, Hodan",BC,37800,40,11/03/2025,
"Miller, Ethan",Britsh Columbia,43050,40,2025-03-18,
"Zhang, Wei",BC,-1,40,2025-03-18,did not know
"Dube, Celine",BC,46200,37.5,2025-03-25,
"Taylor, Emma",BC,24.50,40,2025-04-01,new form starts here
"Hassan, Omar",BC,31.25,40,2025-04-01,
Luc Tremblay,BC,29.35,37.5,2025-04-08,phone follow-up
"Gagnon, Julie",B.C.,27.80,35,2025-04-08,
"Patel, Nisha",BC,n/a,20,2025-04-15,
"Kim, Soo-jin",BC,$26.75,40,2025-04-15,
"Anderson, Liam",AB,22.90,40,15/04/2025,
"Osei, Kwame",BC,35.00,40,2025-04-22,
"White, Grace",BC,19.25,25,2025-04-22,
"Moreau, Antoine",BC,44.60,40,2025-04-29,
"Singh, Manpreet",BC,25.25,40,2025-04-29,second interview
"Campbell, Ava",British Columbia,23.10,32,2025-05-06,
"Baptiste, Rene",BC,refused,40,2025-05-06,
"Sato, Yuki",BC,28.40,37.5,May 13 2025,
"Ali, Fatima",BC,30.75,40,2025-05-13,
"Tremblay, L.",BC,29.35,,2025-05-20,
"Johnson, Noah",AB,21.60,40,2025-05-20,
"Woo, Priya",BC,33.20,40,2025-05-27,
"Girard, Mathieu",BC,26.00,0,2025-05-27,on leave this month
"Chen, Amy",BC,20.20,40,2025-06-03,resurveyed on new form
"Fraser, Isla",BC,17.85,40,2025-06-03,
"Bouchard, Emile",BC,60.10,60,2025-06-10,
